Model,N,Variables,R?,Adjusted R?,?R? vs previous,Candidate coef.,Candidate p-value
Opportunity controls only,411,3,0.1640633487206542,0.1579016535023789,,0.686540121609345,9.984881070898855e-26
Opportunity + stake-side controls,411,10,0.7023628886272291,0.6949219608429098,0.5382995399065749,0.2568119001057279,1.57205915325339e-08
Final benchmark with all observable proxies,411,65,0.8155267942618645,0.7807709728909114,0.11316390563463541,0.3160746806879149,0.001430275546056888
